publication_ID	source_file	Pages	Type	Volume	DOI	Issue	OpenAlex_ID	OA_Licence	Authors	Is_OA	Title	Abstract	Corresponding_Institutions	Grants	OA_Status	Year	Referenced_Works	Is_Paratext	OA_URL	Language	Journal	Cited_by	Corresponding_Authors
PA_PUB_0000011	PAD_openalex.tsv	183-193	article	19	https://doi.org/10.1002/j.1099-162x.1980.tb01069.x	3	https://openalex.org/W1588217491		Alan Kingshotte (Alan Kingshotte); Author_ID: https://openalex.org/A5031260062; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A Planning and Management System for Extension and Farmer Assistance in Botswana				closed	1980		FALSE		en	Public Administration and Development	0	https://openalex.org/A5031260062
PA_PUB_0000012	PUBADM_openalex.tsv	287-303	article	58	https://doi.org/10.1111/j.1467-9299.1980.tb00407.x	3	https://openalex.org/W2031965675		"Gil Baldwin (G. R. BALDWIN); Author_ID: https://openalex.org/A5035564502; ORCID: None; Position: first; Countries: HU; Institutions: Institute for Legal Studies ### ID: https://openalex.org/I4210154337 ### ROR: https://ror.org/05ad0gz88 ### Type: facility; Affiliations: Dr. Baldwin is a Research Officer at the Centre for Socio‐Legal Studies, Oxford."	FALSE	A Quango Unleashed: The Abolition Guidance in Civil Aviation Licensing		https://openalex.org/I4210154337		closed	1980		FALSE		en	Public Administration	0	https://openalex.org/A5035564502
PA_PUB_0000013	PAR_openalex.tsv	297-297	article	40	https://doi.org/10.2307/975387	3	https://openalex.org/W2325720510		Charles Pruitt (Charles Pruitt); Author_ID: https://openalex.org/A5110854703; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A Question of Purpose				closed	1980		FALSE		en	Public Administration Review	1	https://openalex.org/A5110854703
PA_PUB_0000014	PAR_openalex.tsv	627-627	article	40	https://doi.org/10.2307/3110318	6	https://openalex.org/W2313030504		David L. Dillman (David L. Dillman); Author_ID: https://openalex.org/A5110344518; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A | Peter Kellner (Peter Kellner); Author_ID: https://openalex.org/A5057910745; ORCID: None; Position: middle; Countries: N/A; Institutions: N/A; Affiliations: N/A | Lord Crowther-Hunt (Lord Crowther-Hunt); Author_ID: https://openalex.org/A5090680654; ORCID: None; Position: middle; Countries: N/A; Institutions: N/A; Affiliations: N/A | Brian Sedgemore (Brian Sedgemore); Author_ID: https://openalex.org/A5091408657; ORCID: None; Position: middle; Countries: N/A; Institutions: N/A; Affiliations: N/A | Richard A. Chapman (Richard A. Chapman); Author_ID: https://openalex.org/A5109036377; ORCID: None; Position: middle; Countries: N/A; Institutions: N/A; Affiliations: N/A | John Greenaway (J. R. Greenaway); Author_ID: https://openalex.org/A5031713488; ORCID: None; Position: last; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	A Search for Responsible Administration: Turbulence and Reform in the British Civil Service				closed	1980		FALSE		en	Public Administration Review	6	
PA_PUB_0000015	PUBPERS_openalex.tsv	116-124	article	9	https://doi.org/10.1177/009102608000900301	3	https://openalex.org/W2604706013		Charles F. Sproule (Charles F. Sproule); Author_ID: https://openalex.org/A5021845963; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: Pennsylvania State Civil Service Commission	FALSE	A Strategy for Resource Allocation in Public Personnel Selection				closed	1980		FALSE		en	Public Personnel Management	1	https://openalex.org/A5021845963
PA_PUB_0000016	POLSTUJOU_openalex.tsv	613-622	article	9	https://doi.org/10.1111/j.1541-0072.1980.tb00973.x	4	https://openalex.org/W2064997135		William Leiss (William Leiss); Author_ID: https://openalex.org/A5021217627; ORCID: https://orcid.org/0000-0002-5192-1788; Position: first; Countries: CA; Institutions: Simon Fraser University ### ID: https://openalex.org/I18014758 ### ROR: https://ror.org/0213rcc28 ### Type: education; Affiliations:  Simon Fraser University	FALSE	A VALUE BASIS FOR CONSERVATION POLICY	"ABSTRACT This paper is a case study in attempting to apply a particular value (caring) to the domain of social policy, specifically resource conservation policy. The argument is that our consumer society erodes the social basis for the development by individuals of a sense of well‐being and personal identity, and that a conservation ethic based on the concept of caring could provide a foundation in practical morality and public policy for a viable sense of well‐being."	https://openalex.org/I18014758		closed	1980		FALSE		en	Policy Studies Journal	2	https://openalex.org/A5021217627
PA_PUB_0000017	POLICYSCI_openalex.tsv	83-104	article	12	https://doi.org/10.1007/bf00137364	1	https://openalex.org/W1980046508		"Clyde W. Holsapple (Clyde W. Holsapple); Author_ID: https://openalex.org/A5112391452; ORCID: None; Position: first; Countries: US; Institutions: University of Illinois System ### ID: https://openalex.org/I2801919071 ### ROR: https://ror.org/05e94g991 ### Type: education; Affiliations: Univ. of Illinois, Urbana | Herbert Moskowitz (Herbert Moskowitz); Author_ID: https://openalex.org/A5109220405; ORCID: None; Position: last; Countries: US; Institutions: Purdue University West Lafayette ### ID: https://openalex.org/I219193219 ### ROR: https://ror.org/02dqehb95 ### Type: education; Affiliations: Purdue University [West Lafayette]"	FALSE	A conceptual framework for studying complex decision processes				closed	1980	https://openalex.org/W1984914320 | https://openalex.org/W2322671590 | https://openalex.org/W2065405022 | https://openalex.org/W2059746088 | https://openalex.org/W4239008548 | https://openalex.org/W2030513969 | https://openalex.org/W6677012793 | https://openalex.org/W6794420258 | https://openalex.org/W2023722569 | https://openalex.org/W2089500450 | https://openalex.org/W4301424608 | https://openalex.org/W2170465675 | https://openalex.org/W2313239637 | https://openalex.org/W1983269138 | https://openalex.org/W2113690011 | https://openalex.org/W2329937548 | https://openalex.org/W3151216969 | https://openalex.org/W4205882326 | https://openalex.org/W4237808086 | https://openalex.org/W1977153588 | https://openalex.org/W1965349186 | https://openalex.org/W3022845691	FALSE		en	Policy Sciences	10	
PA_PUB_0000018	SCIPUB_openalex.tsv	None-None	article		https://doi.org/10.1093/spp/7.3.198		https://openalex.org/W4243162473		"P D Ekbote (P D Ekbote); Author_ID: https://openalex.org/A5099351319; ORCID: None; Position: first; Countries: IN; Institutions: National Institute for Interdisciplinary Science and Technology ### ID: https://openalex.org/I146682468 ### ROR: https://ror.org/05bkc5375 ### Type: facility; Affiliations: Regional Research Laboratory, Trivandrum, Kerala, India | Syam Mohan (S Mohan); Author_ID: https://openalex.org/A5113458610; ORCID: None; Position: middle; Countries: IN; Institutions: National Institute for Interdisciplinary Science and Technology ### ID: https://openalex.org/I146682468 ### ROR: https://ror.org/05bkc5375 ### Type: facility; Affiliations: Regional Research Laboratory, Trivandrum, Kerala, India | P. K. Rohatgi (P K Rohatgi); Author_ID: https://openalex.org/A5004824128; ORCID: None; Position: middle; Countries: IN; Institutions: National Institute for Interdisciplinary Science and Technology ### ID: https://openalex.org/I146682468 ### ROR: https://ror.org/05bkc5375 ### Type: facility; Affiliations: Regional Research Laboratory, Trivandrum, Kerala, India | H. Sreemoolanathan (H Sreemoolanathan); Author_ID: https://openalex.org/A5070184919; ORCID: None; Position: middle; Countries: IN; Institutions: National Institute for Interdisciplinary Science and Technology ### ID: https://openalex.org/I146682468 ### ROR: https://ror.org/05bkc5375 ### Type: facility; Affiliations: Regional Research Laboratory, Trivandrum, Kerala, India | Shailendra Kumar (S Suresh Kumar); Author_ID: https://openalex.org/A5032547592; ORCID: https://orcid.org/0000-0002-5361-5389; Position: middle; Countries: IN; Institutions: National Institute for Interdisciplinary Science and Technology ### ID: https://openalex.org/I146682468 ### ROR: https://ror.org/05bkc5375 ### Type: facility; Affiliations: Regional Research Laboratory, Trivandrum, Kerala, India | R. N. Yadava (R N Yadava); Author_ID: https://openalex.org/A5077082333; ORCID: None; Position: last; Countries: IN; Institutions: National Institute for Interdisciplinary Science and Technology ### ID: https://openalex.org/I146682468 ### ROR: https://ror.org/05bkc5375 ### Type: facility; Affiliations: Regional Research Laboratory, Trivandrum, Kerala, India"	FALSE	A forecasting study of Kerala	"A forecasting study of Kerala Get access P D Ekbote, P D Ekbote Regional Research Laboratory, Trivandrum, Kerala, India Search for other works by this author on: Oxford Academic Google Scholar S Mohan, S Mohan Regional Research Laboratory, Trivandrum, Kerala, India Search for other works by this author on: Oxford Academic Google Scholar P K Rohatgi, P K Rohatgi Regional Research Laboratory, Trivandrum, Kerala, India Search for other works by this author on: Oxford Academic Google Scholar H Sreemoolanathan, H Sreemoolanathan Regional Research Laboratory, Trivandrum, Kerala, India Search for other works by this author on: Oxford Academic Google Scholar S Suresh Kumar, S Suresh Kumar Regional Research Laboratory, Trivandrum, Kerala, India Search for other works by this author on: Oxford Academic Google Scholar R N Yadava R N Yadava Regional Research Laboratory, Trivandrum, Kerala, India Search for other works by this author on: Oxford Academic Google Scholar Science and Public Policy, Volume 7, Issue 3, June 1980, Pages 198–207, https://doi.org/10.1093/spp/7.3.198 Published: 01 June 1980"			closed	1980		FALSE		en	Science and Public Policy	0	
PA_PUB_0000019	AJPA_openalex.tsv	464-477	article	39	https://doi.org/10.1111/j.1467-8500.1980.tb00472.x	03-Apr	https://openalex.org/W2093149972		Bernard Schaffer (Bernard Schaffer); Author_ID: https://openalex.org/A5039184941; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	ADMINISTRATION AND DAILY LIFE				closed	1980	https://openalex.org/W2043335149 | https://openalex.org/W2085435540 | https://openalex.org/W2108958824 | https://openalex.org/W1975213899	FALSE		en	Australian Journal of Public Administration	2	https://openalex.org/A5039184941
PA_PUB_0000020	AJPA_openalex.tsv	454-463	article	39	https://doi.org/10.1111/j.1467-8500.1980.tb00471.x	03-Apr	https://openalex.org/W4256340818		Colin A. Hughes (Colin A. Hughes); Author_ID: https://openalex.org/A5066112945; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	ADMINISTRATIVE ETHICS				closed	1980		FALSE		en	Australian Journal of Public Administration	1	https://openalex.org/A5066112945
PA_PUB_0000021	AJPA_openalex.tsv	437-453	article	39	https://doi.org/10.1111/j.1467-8500.1980.tb00470.x	03-Apr	https://openalex.org/W4243906537		Gerald E. Caiden (Gerald E. Caiden); Author_ID: https://openalex.org/A5000016034; ORCID: None; Position: first; Countries: N/A; Institutions: N/A; Affiliations: N/A	FALSE	ADMINISTRATIVE REFORM				closed	1980	https://openalex.org/W2121547488	FALSE		en	Australian Journal of Public Administration	11	https://openalex.org/A5000016034
PA_PUB_0000022	POLSTUJOU_openalex.tsv	862-870	article	8	https://doi.org/10.1111/j.1541-0072.1980.tb01176.x	6	https://openalex.org/W2092359242		Marshall Carter (Marshall Carter); Author_ID: https://openalex.org/A5012628569; ORCID: None; Position: first; Countries: US; Institutions: Foreign Service Institute ### ID: https://openalex.org/I32135785 ### ROR: https://ror.org/05hb6w248 ### Type: government; Affiliations: U.S. Foreign Service	FALSE	AGENCY FRACMENTATION AND ITS EFFECTS ON IMPACT: A BORDERLANDS CASE*	"ABSTRACT The US‐Mexico border is both a line of potential separation and a span of contact and blending of cultures. National and local perceptions and intentions about this boundary often differ, and the formulation and implementation of border policy is thus subject to many conflicting pressures. Not the least are those generated by government agencies with border responsibilities. Perspectives as local, border, and field offices, combined with inter‐agency rivalry and uncertain jurisdictions, lead to border management operations that are inconsistent with apparent national (central) policy, illustrated by the complex bureaucracy present in El Paso—the largest urban site on the border. Proposed solutions cluster around improvement of the existing structure (with better equipment, budgets, or staffing) or reorganization of the primary border agencies. Recent efforts by the federal government to introduce changes based on both of these approaches have been markedly unsuccessful, reflecting a continuing inability to resolve fundamental differences of opinion (both intracentral and central‐border) on the goals of border policy."	https://openalex.org/I32135785		closed	1980	https://openalex.org/W4240765700 | https://openalex.org/W2069754692 | https://openalex.org/W2012925042 | https://openalex.org/W4255869542 | https://openalex.org/W352527128 | https://openalex.org/W2079171997 | https://openalex.org/W2403912831	FALSE		en	Policy Studies Journal	0	https://openalex.org/A5012628569
PA_PUB_0000023	POLSTUJOU_openalex.tsv	958-964	article	8	https://doi.org/10.1111/j.1541-0072.1980.tb01188.x	6	https://openalex.org/W2078207105		John L. Foster (John L. Foster); Author_ID: https://openalex.org/A5113027674; ORCID: None; Position: first; Countries: US; Institutions: Southern Illinois University Carbondale ### ID: https://openalex.org/I110378019 ### ROR: https://ror.org/049kefs16 ### Type: education; Affiliations:  Southern Illinois University at Carbondale.	FALSE	AN ADVOCATE ROLE MODEL FOR POLICY ANALYSIS	"ABSTRACT The most common role descriptions for professional policy analysts may be described as “problem solving” models, these models assume that most policy issues are essentially technical problems which can be solved through professional expertise. This paper outlines an alternate advocacy analysis model which assumes that many policy problems are matters of competing self interests and that analysts will often be sought to provide the strongest possible case for a client's preference. It also reviews questions of feasibility, credibility, appropriate training, and ethics for an advocacy analysis profession."	https://openalex.org/I110378019		closed	1980	https://openalex.org/W2323266367 | https://openalex.org/W2802988859 | https://openalex.org/W1996245468 | https://openalex.org/W1970776358 | https://openalex.org/W2082051085 | https://openalex.org/W6609271914 | https://openalex.org/W2151707779 | https://openalex.org/W4241744899 | https://openalex.org/W2058107732 | https://openalex.org/W1562770622 | https://openalex.org/W2094810935 | https://openalex.org/W241745074 | https://openalex.org/W2332151492 | https://openalex.org/W2034576702 | https://openalex.org/W258912625	FALSE		en	Policy Studies Journal	22	https://openalex.org/A5113027674
PA_PUB_0000024	POLSTUJOU_openalex.tsv	260-270	article	9	https://doi.org/10.1111/j.1541-0072.1980.tb02202.x	2	https://openalex.org/W2117127258		"Joseph C. Morreale (Joseph C. Morreale); Author_ID: https://openalex.org/A5015455499; ORCID: None; Position: first; Countries: US; Institutions: Queens College, CUNY ### ID: https://openalex.org/I111455621 ### ROR: https://ror.org/03v8adn41 ### Type: education; Affiliations: Queens College, CUNY, New York, United States"	FALSE	AN EVALUATION OF THE NATIONAL HEALTH INSURANCE STRATEGY		https://openalex.org/I111455621		closed	1980	https://openalex.org/W1985016394 | https://openalex.org/W2096773481 | https://openalex.org/W2032311234 | https://openalex.org/W1965982664	FALSE		en	Policy Studies Journal	1	https://openalex.org/A5015455499
PA_PUB_0000025	POLSTUJOU_openalex.tsv	414-427	article	9	https://doi.org/10.1111/j.1541-0072.1980.tb00950.x	3	https://openalex.org/W2045260989		"David E. Dowall (David E. Dowall); Author_ID: https://openalex.org/A5051349061; ORCID: None; Position: first; Countries: US; Institutions: University of California, Berkeley ### ID: https://openalex.org/I95457486 ### ROR: https://ror.org/01an7q238 ### Type: education; Affiliations: University of California, Berkeley"	FALSE	AN EXAMINATION OF POPULATION‐GROWTH‐MANAGING COMMUNITIES	"ABSTRACT This paper examines the fiscal, social, economic and environmental characteristics of 228 cities and counties. Using cluster analysis, 210 communities were classified into eleven types of communities. The empirical typings appear to support the proposition that communities control population growth to avoid adverse fiscal and environmental impacts and maintain the social and economic character of the community."	https://openalex.org/I95457486		closed	1980	https://openalex.org/W2010998977 | https://openalex.org/W2024781228	FALSE		en	Policy Studies Journal	37	https://openalex.org/A5051349061
PA_PUB_0000026	POLSTUJOU_openalex.tsv	928-941	article	8	https://doi.org/10.1111/j.1541-0072.1980.tb01185.x	6	https://openalex.org/W2088279432		Kathryn E. Newcomer (Kathryn E. Newcomer); Author_ID: https://openalex.org/A5027650657; ORCID: https://orcid.org/0000-0002-1431-6634; Position: first; Countries: US; Institutions: University of Nebraska–Lincoln ### ID: https://openalex.org/I114395901 ### ROR: https://ror.org/043mer456 ### Type: education; Affiliations: #N##TAB##TAB##TAB##TAB# University of Nebraska-Lincoln#N##TAB##TAB##TAB# | R. J. Hardy (Richard J. Hardy); Author_ID: https://openalex.org/A5091186760; ORCID: https://orcid.org/0000-0003-1031-0160; Position: last; Countries: US; Institutions: University of Missouri ### ID: https://openalex.org/I76835614 ### ROR: https://ror.org/02ymw8z06 ### Type: education; Affiliations: UNIVERSITY OF MISSOURI‐COLUMBIA	FALSE	ANALYZING POLICY IMPACT: SELECTION OF A LINEAR TREND MODEL	"ABSTRACT Policy analysts, as well as politicians, have shown great interest in assessing both short‐term and long‐term consequences of public policies in recent years. Recent time‐trend studies have attempted to depict the time dimension of policy consequences through extensions of regression techniques. This study examines three linear trend models which have been used to depict policy impact through time‐series analyses, and identifies the relative advantages and disadvantages associated with the use of each model. The three models are applied in a quasi‐experimental time‐series design to time‐series of per capita state expenditures for large cities, in eight states, over a twenty‐year period. Differences in degrees of multicollinearity and autocorrelation inherent in the three models are discussed, and the model providing the most conservative coefficient estimates is identified."			closed	1980	https://openalex.org/W2322599481 | https://openalex.org/W6705990637 | https://openalex.org/W2022830804 | https://openalex.org/W2066124661 | https://openalex.org/W2064683083 | https://openalex.org/W2021111214 | https://openalex.org/W2312254718 | https://openalex.org/W6657436313 | https://openalex.org/W2123313284 | https://openalex.org/W2319949424 | https://openalex.org/W2120060924 | https://openalex.org/W4244193102 | https://openalex.org/W29668899 | https://openalex.org/W2094419105 | https://openalex.org/W2029299395 | https://openalex.org/W4301041382 | https://openalex.org/W598914937 | https://openalex.org/W2045181804 | https://openalex.org/W2316320978	FALSE		en	Policy Studies Journal	6	
PA_PUB_0000027	POLSTUJOU_openalex.tsv	622-633	article	9	https://doi.org/10.1111/j.1541-0072.1980.tb00974.x	4	https://openalex.org/W2048269091		Herbert G. Reid (Herbert G. Reid); Author_ID: https://openalex.org/A5111465578; ORCID: None; Position: first; Countries: US; Institutions: University of Kentucky ### ID: https://openalex.org/I143302722 ### ROR: https://ror.org/02k3smh20 ### Type: education; Affiliations: #N##TAB##TAB##TAB##TAB# Univ. of Kentucky#N##TAB##TAB##TAB#	FALSE	"APPALACHIAN POLICY, THE CORPORATE STATE, AND AMERICAN VALUES: A CRITICAL PERSPECTIVE"	"ABSTRACT This paper explores the historical interplay of Appalachia and America over the past hundred years. The focus is on questions of culture and ideology, policy and values as these have been constituted in the development of our “corporate state” and its penetration and integration of the region. A careful examination of Henry Shapiro's Appalachia on our Mind brings to the surface many of the assumptions and values generally underlying the social and public policies binding the nation and the region. Ideological aspects in the genesis of the region as a social problem receive considerable attention. It becomes apparent that understanding Appalachia hinges on critical, historical perspectives on modern America: the liberal tradition, the technological world‐view, and the politicized economy of the corporate state. The notion that “time stood still” in Appalachia (the static image) has developed in ways that deflect or obscure comprehension of the region's particular form of modernization."	https://openalex.org/I143302722		closed	1980	https://openalex.org/W1997850526	FALSE		en	Policy Studies Journal	3	https://openalex.org/A5111465578
