publication_ID	author_ID	work_OpenAlex_ID	source_file	author_name_full	author_name_display	author_name_raw	OpenAlex_Author_ID	ORCID	Position	Countries	Institutions	Affiliations	author_name_display_clean	author_name_recovered_from_full	author_name_for_internal_ID
PA_PUB_0034295	PA_AUTH_0057815	https://openalex.org/W2134838822	ADMINSOC_openalex.tsv	Mark T. Imperial (Mark T. Imperial)	Mark T. Imperial	Mark T. Imperial	https://openalex.org/A5071151843	https://orcid.org/0000-0003-1665-9283	first	US	University of North Carolina Wilmington ### ID: https://openalex.org/I153901656 ### ROR: https://ror.org/02t0qr014 ### Type: education	"University of North Carolina at Wilmington,"	Mark T. Imperial		mark t. imperial
PA_PUB_0040059	PA_AUTH_0084748	https://openalex.org/W2098695055	ADMINSOC_openalex.tsv	Bradley E. Wright (Bradley E. Wright)	Bradley E. Wright	Bradley E. Wright	https://openalex.org/A5112724539		first	US	University of North Carolina at Charlotte ### ID: https://openalex.org/I102149020 ### ROR: https://ror.org/04dawnj30 ### Type: education	University of North Carolina at Charlotte*	Bradley E. Wright		bradley e. wright
PA_PUB_0040059	PA_AUTH_0054121	https://openalex.org/W2098695055	ADMINSOC_openalex.tsv	Sanjay K. Pandey (Sanjay K. Pandey)	Sanjay K. Pandey	Sanjay K. Pandey	https://openalex.org/A5066592812	https://orcid.org/0000-0003-1005-0274	last	US	University of Kansas ### ID: https://openalex.org/I146416000 ### ROR: https://ror.org/001tmjg57 ### Type: education	"University of Kansas, Lawrence"	Sanjay K. Pandey		sanjay k. pandey
PA_PUB_0038466	PA_AUTH_0006729	https://openalex.org/W2020184682	ADMINSOC_openalex.tsv	Barry Bozeman (Barry Bozeman)	Barry Bozeman	Barry Bozeman	https://openalex.org/A5008083587	https://orcid.org/0000-0002-8084-3379	first	US	University of Georgia ### ID: https://openalex.org/I165733156 ### ROR: https://ror.org/00te3t702 ### Type: education	University of Georgia - Athens	Barry Bozeman		barry bozeman
PA_PUB_0038466	PA_AUTH_0041727	https://openalex.org/W2020184682	ADMINSOC_openalex.tsv	Mary Feeney (Mary K. Feeney)	Mary Feeney	Mary K. Feeney	https://openalex.org/A5051274338	https://orcid.org/0000-0001-6850-1985	last	US	University of Georgia ### ID: https://openalex.org/I165733156 ### ROR: https://ror.org/00te3t702 ### Type: education	University of Georgia - Athens	Mary Feeney		mary feeney
PA_PUB_0016109	PA_AUTH_0025950	https://openalex.org/W2067065954	ADMINSOC_openalex.tsv	Paul R. Schulman (Paul R. Schulman)	Paul R. Schulman	Paul R. Schulman	https://openalex.org/A5031852346		first	US	Mills College ### ID: https://openalex.org/I91481961 ### ROR: https://ror.org/01ynb8e46 ### Type: education	Mills College	Paul R. Schulman		paul r. schulman
PA_PUB_0003873	PA_AUTH_0001912	https://openalex.org/W2103210126	ADMINSOC_openalex.tsv	Hal G. Rainey (Hal G. Rainey)	Hal G. Rainey	Hal G. Rainey	https://openalex.org/A5002219477		first	US	Florida State University ### ID: https://openalex.org/I103163165 ### ROR: https://ror.org/05g3dte14 ### Type: education	Florida State University	Hal G. Rainey		hal g. rainey
PA_PUB_0037088	PA_AUTH_0043575	https://openalex.org/W3125423880	ADMINSOC_openalex.tsv	Donald P. Moynihan (Donald P. Moynihan)	Donald P. Moynihan	Donald P. Moynihan	https://openalex.org/A5053572128	https://orcid.org/0000-0003-4097-6908	first	US	University of Wisconsin–Madison ### ID: https://openalex.org/I135310074 ### ROR: https://ror.org/01y2jtd41 ### Type: education	University of Wisconsin-Madison	Donald P. Moynihan		donald p. moynihan
PA_PUB_0037088	PA_AUTH_0054121	https://openalex.org/W3125423880	ADMINSOC_openalex.tsv	Sanjay K. Pandey (Sanjay K. Pandey)	Sanjay K. Pandey	Sanjay K. Pandey	https://openalex.org/A5066592812	https://orcid.org/0000-0003-1005-0274	last	US	University of Kansas ### ID: https://openalex.org/I146416000 ### ROR: https://ror.org/001tmjg57 ### Type: education	"The University of Kansas, Lawrence"	Sanjay K. Pandey		sanjay k. pandey
PA_PUB_0038497	PA_AUTH_0012005	https://openalex.org/W2155337604	ADMINSOC_openalex.tsv	Jurian Edelenbos (Jurian Edelenbos)	Jurian Edelenbos	Jurian Edelenbos	https://openalex.org/A5014566928	https://orcid.org/0000-0002-8070-4547	first	NL	Erasmus University Rotterdam ### ID: https://openalex.org/I913958620 ### ROR: https://ror.org/057w15z03 ### Type: education	"Erasmus University, Rotterdam, the Netherlands"	Jurian Edelenbos		jurian edelenbos
PA_PUB_0038497	PA_AUTH_0007206	https://openalex.org/W2155337604	ADMINSOC_openalex.tsv	Erik‐Hans Klijn (Erik-Hans Klijn)	Erik‐Hans Klijn	Erik-Hans Klijn	https://openalex.org/A5008602905	https://orcid.org/0000-0002-2121-6818	last	NL	Erasmus University Rotterdam ### ID: https://openalex.org/I913958620 ### ROR: https://ror.org/057w15z03 ### Type: education	"Erasmus University, Rotterdam, the Netherlands"	Erik-Hans Klijn		erik-hans klijn
PA_PUB_0045721	PA_AUTH_0007206	https://openalex.org/W2157221245	ADMINSOC_openalex.tsv	Erik‐Hans Klijn (Erik-Hans Klijn)	Erik‐Hans Klijn	Erik-Hans Klijn	https://openalex.org/A5008602905	https://orcid.org/0000-0002-2121-6818	first	NL	Erasmus University Rotterdam ### ID: https://openalex.org/I913958620 ### ROR: https://ror.org/057w15z03 ### Type: education	"Erasmus University, Rotterdam, Netherlands"	Erik-Hans Klijn		erik-hans klijn
PA_PUB_0045721	PA_AUTH_0012005	https://openalex.org/W2157221245	ADMINSOC_openalex.tsv	Jurian Edelenbos (Jurian Edelenbos)	Jurian Edelenbos	Jurian Edelenbos	https://openalex.org/A5014566928	https://orcid.org/0000-0002-8070-4547	middle	NL	Erasmus University Rotterdam ### ID: https://openalex.org/I913958620 ### ROR: https://ror.org/057w15z03 ### Type: education	"Erasmus University, Rotterdam, Netherlands"	Jurian Edelenbos		jurian edelenbos
PA_PUB_0045721	PA_AUTH_0016300	https://openalex.org/W2157221245	ADMINSOC_openalex.tsv	Bram Steijn (Bram Steijn)	Bram Steijn	Bram Steijn	https://openalex.org/A5019944396	https://orcid.org/0000-0001-7437-7503	last	NL	Erasmus University Rotterdam ### ID: https://openalex.org/I913958620 ### ROR: https://ror.org/057w15z03 ### Type: education	"Erasmus University, Rotterdam, Netherlands"	Bram Steijn		bram steijn
PA_PUB_0022268	PA_AUTH_0061481	https://openalex.org/W2130800658	ADMINSOC_openalex.tsv	Craig W. Thomas (Craig W. Thomas)	Craig W. Thomas	Craig W. Thomas	https://openalex.org/A5075632036	https://orcid.org/0000-0003-0530-8058	first	US	University of Massachusetts Amherst ### ID: https://openalex.org/I24603500 ### ROR: https://ror.org/0072zz521 ### Type: education	University of Massachusetts: Amherst#TAB#	Craig W. Thomas		craig w. thomas
PA_PUB_0029154	PA_AUTH_0021979	https://openalex.org/W2127001553	ADMINSOC_openalex.tsv	John Alford (John Alford)	John Alford	John Alford	https://openalex.org/A5026984273	https://orcid.org/0009-0006-0195-4414	first	AU	The University of Melbourne ### ID: https://openalex.org/I165779595 ### ROR: https://ror.org/01ej9dk98 ### Type: education	University of Melbourne	John Alford		john alford
PA_PUB_0060638	PA_AUTH_0014902	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Ulrich Thy Jensen (Ulrich Thy Jensen)	Ulrich Thy Jensen	Ulrich Thy Jensen	https://openalex.org/A5018159252	https://orcid.org/0000-0002-6238-843X	first	US	Arizona State University ### ID: https://openalex.org/I55732556 ### ROR: https://ror.org/03efmqc40 ### Type: education	"Arizona State University, AZ, USA"	Ulrich Thy Jensen		ulrich thy jensen
PA_PUB_0060638	PA_AUTH_0069995	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Lotte Bøgh Andersen (Lotte Bøgh Andersen)	Lotte Bøgh Andersen	Lotte Bøgh Andersen	https://openalex.org/A5086010166	https://orcid.org/0000-0002-1127-7561	middle	DK	Aarhus University ### ID: https://openalex.org/I204337017 ### ROR: https://ror.org/01aj84f44 ### Type: education	"Danish Institute for Local and Regional Government Research, Copenhagen, Denmark#TAB#Aarhus University, Denmark"	Lotte Bøgh Andersen		lotte bøgh andersen
PA_PUB_0060638	PA_AUTH_0087068	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Louise Ladegaard Bro (Louise Ladegaard Bro)	Louise Ladegaard Bro	Louise Ladegaard Bro		https://orcid.org/0000-0002-4051-1492	middle	DK	Aarhus University ### ID: https://openalex.org/I204337017 ### ROR: https://ror.org/01aj84f44 ### Type: education	"Aarhus University, Denmark"	Louise Ladegaard Bro		louise ladegaard bro
PA_PUB_0060638	PA_AUTH_0009256	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Anne Bøllingtoft (Anne Bøllingtoft)	Anne Bøllingtoft	Anne Bøllingtoft	https://openalex.org/A5011158894	https://orcid.org/0000-0003-0757-4173	middle	DK	Aarhus University ### ID: https://openalex.org/I204337017 ### ROR: https://ror.org/01aj84f44 ### Type: education	"Aarhus University, Denmark"	Anne Bøllingtoft		anne bøllingtoft
PA_PUB_0060638	PA_AUTH_0060505	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Tine Louise Mundbjerg Eriksen (Tine Louise Mundbjerg Eriksen)	Tine Louise Mundbjerg Eriksen	Tine Louise Mundbjerg Eriksen	https://openalex.org/A5074430648	https://orcid.org/0000-0002-4462-2229	middle	DK	Aarhus University ### ID: https://openalex.org/I204337017 ### ROR: https://ror.org/01aj84f44 ### Type: education	"Aarhus University, Denmark"	Tine Louise Mundbjerg Eriksen		tine louise mundbjerg eriksen
PA_PUB_0060638	PA_AUTH_0068654	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Ann‐Louise Holten (Ann-Louise Holten)	Ann‐Louise Holten	Ann-Louise Holten	https://openalex.org/A5084322023	https://orcid.org/0000-0002-6031-5843	middle	DK	University of Copenhagen ### ID: https://openalex.org/I124055696 ### ROR: https://ror.org/035b05819 ### Type: education	"University of Copenhagen, Denmark"	Ann-Louise Holten		ann-louise holten
PA_PUB_0060638	PA_AUTH_0052544	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Christian Bøtcher Jacobsen (Christian Bøtcher Jacobsen)	Christian Bøtcher Jacobsen	Christian Bøtcher Jacobsen	https://openalex.org/A5064681508	https://orcid.org/0000-0002-9891-9191	middle	DK	Aarhus University ### ID: https://openalex.org/I204337017 ### ROR: https://ror.org/01aj84f44 ### Type: education	"Aarhus University, Denmark"	Christian Bøtcher Jacobsen		christian bøtcher jacobsen
PA_PUB_0060638	PA_AUTH_0039284	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Jacob Ladenburg (Jacob Ladenburg)	Jacob Ladenburg	Jacob Ladenburg	https://openalex.org/A5048328663	https://orcid.org/0000-0002-1095-1534	middle			"Danish Institute for Local and Regional Government Research, Copenhagen, Denmark"	Jacob Ladenburg		jacob ladenburg
PA_PUB_0060638	PA_AUTH_0050288	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Poul Aaes Nielsen (Poul Aaes Nielsen)	Poul Aaes Nielsen	Poul Aaes Nielsen	https://openalex.org/A5061890779	https://orcid.org/0000-0003-1770-1113	middle	DK	University of Southern Denmark ### ID: https://openalex.org/I177969490 ### ROR: https://ror.org/03yrrjy16 ### Type: education	"University of Southern Denmark, Odense, Denmark"	Poul Aaes Nielsen		poul aaes nielsen
PA_PUB_0060638	PA_AUTH_0051652	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Heidi Houlberg Salomonsen (Heidi Houlberg Salomonsen)	Heidi Houlberg Salomonsen	Heidi Houlberg Salomonsen	https://openalex.org/A5063582019	https://orcid.org/0000-0002-2002-6801	middle	DK	Aalborg University ### ID: https://openalex.org/I891191580 ### ROR: https://ror.org/04m5j1k67 ### Type: education	"Aalborg University, Denmark"	Heidi Houlberg Salomonsen		heidi houlberg salomonsen
PA_PUB_0060638	PA_AUTH_0085294	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Niels Westergård‐Nielsen (Niels Westergård-Nielsen)	Niels Westergård‐Nielsen	Niels Westergård-Nielsen	https://openalex.org/A5113517165		middle	DK	Copenhagen Business School ### ID: https://openalex.org/I180519160 ### ROR: https://ror.org/04sppb023 ### Type: education	"Copenhagen Business School, Denmark"	Niels Westergård-Nielsen		niels westergård-nielsen
PA_PUB_0060638	PA_AUTH_0007556	https://openalex.org/W2517280011	ADMINSOC_openalex.tsv	Allan Würtz (Allan Würtz)	Allan Würtz	Allan Würtz	https://openalex.org/A5009036656		last	DK	Aarhus University ### ID: https://openalex.org/I204337017 ### ROR: https://ror.org/01aj84f44 ### Type: education	"Aarhus University, Denmark"	Allan Würtz		allan würtz
PA_PUB_0052328	PA_AUTH_0059770	https://openalex.org/W2170514205	ADMINSOC_openalex.tsv	C.J.A.M. Termeer (Catrien J. A. M. Termeer)	C.J.A.M. Termeer	Catrien J. A. M. Termeer	https://openalex.org/A5073518178	https://orcid.org/0000-0001-7396-1476	first	NL	Wageningen University & Research ### ID: https://openalex.org/I913481162 ### ROR: https://ror.org/04qw24q55 ### Type: education	"Wageningen University, Netherlands"	C.J.A.M. Termeer		c.j.a.m. termeer
PA_PUB_0052328	PA_AUTH_0034523	https://openalex.org/W2170514205	ADMINSOC_openalex.tsv	Art Dewulf (Art Dewulf)	Art Dewulf	Art Dewulf	https://openalex.org/A5042495356	https://orcid.org/0000-0002-4171-7644	middle	NL	Wageningen University & Research ### ID: https://openalex.org/I913481162 ### ROR: https://ror.org/04qw24q55 ### Type: education	"Wageningen University, Netherlands"	Art Dewulf		art dewulf
PA_PUB_0052328	PA_AUTH_0065160	https://openalex.org/W2170514205	ADMINSOC_openalex.tsv	G.E. Breeman (Gerard Breeman)	G.E. Breeman	Gerard Breeman	https://openalex.org/A5080131973	https://orcid.org/0000-0001-9735-4689	middle	NL	Wageningen University & Research ### ID: https://openalex.org/I913481162 ### ROR: https://ror.org/04qw24q55 ### Type: education	"Wageningen University, Netherlands"	G.E. Breeman		g.e. breeman
PA_PUB_0052328	PA_AUTH_0055631	https://openalex.org/W2170514205	ADMINSOC_openalex.tsv	Sabina Stiller (Sabina J. Stiller)	Sabina Stiller	Sabina J. Stiller	https://openalex.org/A5068465487		last	NL	Wageningen University & Research ### ID: https://openalex.org/I913481162 ### ROR: https://ror.org/04qw24q55 ### Type: education	"Wageningen University, Netherlands"	Sabina Stiller		sabina stiller
PA_PUB_0015288	PA_AUTH_0054141	https://openalex.org/W2025990391	ADMINSOC_openalex.tsv	Paul ‘t Hart (Paul 't Hart)	Paul ‘t Hart	Paul 't Hart	https://openalex.org/A5066617319	https://orcid.org/0000-0003-1454-0932	first	NL	Leiden University ### ID: https://openalex.org/I121797337 ### ROR: https://ror.org/027bh9e22 ### Type: education	"University of Leiden, the Netherlands."	Paul ‘t Hart		paul ‘t hart
PA_PUB_0015288	PA_AUTH_0026688	https://openalex.org/W2025990391	ADMINSOC_openalex.tsv	Uriel Rosenthal (Uriel Rosenthal)	Uriel Rosenthal	Uriel Rosenthal	https://openalex.org/A5032752343		middle	NL	Netherlands School of Public Administration ### ID: https://openalex.org/I4210134196 ### ROR: https://ror.org/033958n71 ### Type: education	"University of Leiden, the Netherlands, Netherlands School of Government"	Uriel Rosenthal		uriel rosenthal
PA_PUB_0015288	PA_AUTH_0048075	https://openalex.org/W2025990391	ADMINSOC_openalex.tsv	Alexander Kouzmin (Alexander Kouzmin)	Alexander Kouzmin	Alexander Kouzmin	https://openalex.org/A5059211933		last	AU	Nepean Hospital ### ID: https://openalex.org/I2801688508 ### ROR: https://ror.org/03vb6df93 ### Type: healthcare || Western Sydney University ### ID: https://openalex.org/I63525965 ### ROR: https://ror.org/03t52dk35 ### Type: education	"University of Western Sydney, Nepean"	Alexander Kouzmin		alexander kouzmin
PA_PUB_0066391	PA_AUTH_0017857	https://openalex.org/W2775995374	ADMINSOC_openalex.tsv	Christopher Ansell (Chris Ansell)	Christopher Ansell	Chris Ansell	https://openalex.org/A5021817508	https://orcid.org/0000-0002-7723-1283	first	US	"University of California, Berkeley ### ID: https://openalex.org/I95457486 ### ROR: https://ror.org/01an7q238 ### Type: education"	"University of California, Berkeley, CA, USA"	Christopher Ansell		christopher ansell
PA_PUB_0066391	PA_AUTH_0066158	https://openalex.org/W2775995374	ADMINSOC_openalex.tsv	Arjen Boin (Arjen Boin)	Arjen Boin	Arjen Boin	https://openalex.org/A5081367804	https://orcid.org/0000-0002-0923-1484	last	NL	Leiden University ### ID: https://openalex.org/I121797337 ### ROR: https://ror.org/027bh9e22 ### Type: education	"Universiteit Leiden, Leiden, Netherlands"	Arjen Boin		arjen boin
PA_PUB_0032129	PA_AUTH_0044734	https://openalex.org/W2162783384	ADMINSOC_openalex.tsv	Maarten A. Hajer (Maarten A. Hajer)	Maarten A. Hajer	Maarten A. Hajer	https://openalex.org/A5055032163	https://orcid.org/0000-0001-9212-645X	first	NL	University of Amsterdam ### ID: https://openalex.org/I887064364 ### ROR: https://ror.org/04dkp9463 ### Type: education	University of Amsterdam	Maarten A. Hajer		maarten a. hajer
PA_PUB_0019067	PA_AUTH_0007206	https://openalex.org/W2055597911	ADMINSOC_openalex.tsv	Erik‐Hans Klijn (Erik hans Klijn)	Erik‐Hans Klijn	Erik hans Klijn	https://openalex.org/A5008602905	https://orcid.org/0000-0002-2121-6818	first	NL	Erasmus University Rotterdam ### ID: https://openalex.org/I913958620 ### ROR: https://ror.org/057w15z03 ### Type: education	Erasmus University of Rotterdam	Erik-Hans Klijn		erik-hans klijn
PA_PUB_0045056	PA_AUTH_0077912	https://openalex.org/W2047324863	ADMINSOC_openalex.tsv	Daniel Béland (Daniel Béland)	Daniel Béland	Daniel Béland	https://openalex.org/A5102707107	https://orcid.org/0000-0003-2756-5629	first	CA	University of Saskatchewan ### ID: https://openalex.org/I32625721 ### ROR: https://ror.org/010x8gc63 ### Type: education	"University of Saskatchewan, Saskatoon, Canada"	Daniel Béland		daniel béland
PA_PUB_0011396	PA_AUTH_0003750	https://openalex.org/W1983290795	ADMINSOC_openalex.tsv	Sandra Waddock (Sandra A. Waddock)	Sandra Waddock	Sandra A. Waddock	https://openalex.org/A5004388635	https://orcid.org/0000-0003-1089-7686	first	US	Boston College ### ID: https://openalex.org/I103531236 ### ROR: https://ror.org/02n2fzt79 ### Type: education	Boston College	Sandra Waddock		sandra waddock
PA_PUB_0027865	PA_AUTH_0024003	https://openalex.org/W2082113915	ADMINSOC_openalex.tsv	Todd M. La Porte (Todd M. la Porte)	Todd M. La Porte	Todd M. la Porte	https://openalex.org/A5029466485		first	US	George Mason University ### ID: https://openalex.org/I162714631 ### ROR: https://ror.org/02jqj7156 ### Type: education	George Mason University	Todd M. La Porte		todd m. la porte
PA_PUB_0027865	PA_AUTH_0083336	https://openalex.org/W2082113915	ADMINSOC_openalex.tsv	Chris C. Demchak (Chris C. Demchak)	Chris C. Demchak	Chris C. Demchak	https://openalex.org/A5111456612		middle	US	University of Arizona ### ID: https://openalex.org/I138006243 ### ROR: https://ror.org/03m2x1q45 ### Type: education	University of Arizona	Chris C. Demchak		chris c. demchak
PA_PUB_0027865	PA_AUTH_0087115	https://openalex.org/W2082113915	ADMINSOC_openalex.tsv	Martin de Jong (Martin de Jong)	Martin de Jong	Martin de Jong		https://orcid.org/0000-0001-6554-2458	last	"CA, RU"	Institute on Governance ### ID: https://openalex.org/I1292020679 ### ROR: https://ror.org/00ppf7x29 ### Type: nonprofit || University of Technology ### ID: https://openalex.org/I4210134318 ### ROR: https://ror.org/03gbw6p94 ### Type: education	Organisation and Governance#TAB#University of Technology	Martin de Jong		martin de jong
PA_PUB_0024817	PA_AUTH_0002747	https://openalex.org/W2097390554	ADMINSOC_openalex.tsv	Thomas Webler (Thomas Webler)	Thomas Webler	Thomas Webler	https://openalex.org/A5003218937	https://orcid.org/0000-0003-4165-0889	first	US	Social and Environmental Research Institute ### ID: https://openalex.org/I4210148514 ### ROR: https://ror.org/04vv3qe07 ### Type: facility	Social and Environmental Research Institute	Thomas Webler		thomas webler
PA_PUB_0024817	PA_AUTH_0062888	https://openalex.org/W2097390554	ADMINSOC_openalex.tsv	Seth Tuler (Seth Tuler)	Seth Tuler	Seth Tuler	https://openalex.org/A5077343912	https://orcid.org/0009-0004-3930-1107	last	US	Social and Environmental Research Institute ### ID: https://openalex.org/I4210148514 ### ROR: https://ror.org/04vv3qe07 ### Type: facility	Social and Environmental Research Institute	Seth Tuler		seth tuler
PA_PUB_0057066	PA_AUTH_0002039	https://openalex.org/W2135317121	ADMINSOC_openalex.tsv	Patricia Bromley (Patricia Bromley)	Patricia Bromley	Patricia Bromley	https://openalex.org/A5002366164	https://orcid.org/0000-0001-8345-4355	first	US	University of Utah ### ID: https://openalex.org/I223532165 ### ROR: https://ror.org/03r0ha626 ### Type: education	"1University of Utah, Salt Lake City, USA"	Patricia Bromley		patricia bromley
PA_PUB_0057066	PA_AUTH_0071453	https://openalex.org/W2135317121	ADMINSOC_openalex.tsv	John W. Meyer (John W. Meyer)	John W. Meyer	John W. Meyer	https://openalex.org/A5087738695	https://orcid.org/0000-0001-5581-9038	last	US	Stanford University ### ID: https://openalex.org/I97018004 ### ROR: https://ror.org/00f54p054 ### Type: education	"#N#2Stanford University, CA, USA"	John W. Meyer		john w. meyer
PA_PUB_0037163	PA_AUTH_0034355	https://openalex.org/W2144507877	ADMINSOC_openalex.tsv	Charo Rodríguez (Charo Rodríguez)	Charo Rodríguez	Charo Rodríguez	https://openalex.org/A5042278842	https://orcid.org/0000-0003-3799-8399	first	CA	McGill University ### ID: https://openalex.org/I5023651 ### ROR: https://ror.org/01pxwe438 ### Type: education	"McGill University, Montréal, Québec, Canada"	Charo Rodríguez		charo rodríguez
PA_PUB_0037163	PA_AUTH_0048000	https://openalex.org/W2144507877	ADMINSOC_openalex.tsv	Ann Langley (Ann Langley)	Ann Langley	Ann Langley	https://openalex.org/A5059129402	https://orcid.org/0000-0003-3666-328X	middle	CA	HEC Montréal ### ID: https://openalex.org/I108192572 ### ROR: https://ror.org/05ww3wq27 ### Type: education	"HEC, Montréal, Québec, Canada"	Ann Langley		ann langley
PA_PUB_0037163	PA_AUTH_0063248	https://openalex.org/W2144507877	ADMINSOC_openalex.tsv	François Béland (François Béland)	François Béland	François Béland	https://openalex.org/A5077835749	https://orcid.org/0000-0002-2031-3317	middle	CA	Université de Montréal ### ID: https://openalex.org/I70931966 ### ROR: https://ror.org/0161xgx34 ### Type: education	"Université de Montréal, Québec, Canada"	François Béland		françois béland
