author_ID	OpenAlex_Author_ID	author_name_for_internal_ID	ID_assignment_method
PA_AUTH_0000022	https://openalex.org/A2052355773	felipe barbosa zani	OpenAlex_Author_ID
PA_AUTH_0000023	https://openalex.org/A2057454035	xin yin	OpenAlex_Author_ID
PA_AUTH_0000024	https://openalex.org/A2067067675	michele vespe	OpenAlex_Author_ID
PA_AUTH_0000025	https://openalex.org/A2090888650	blas josé martínez gallardo	OpenAlex_Author_ID
PA_AUTH_0000026	https://openalex.org/A2096766557	lei dong	OpenAlex_Author_ID
PA_AUTH_0000027	https://openalex.org/A2099182211	aarti sharma	OpenAlex_Author_ID
PA_AUTH_0000028	https://openalex.org/A2099661209	fang liu	OpenAlex_Author_ID
PA_AUTH_0000029	https://openalex.org/A2100876957	turchetti giuseppe	OpenAlex_Author_ID
PA_AUTH_0000030	https://openalex.org/A2101939884	lei feng	OpenAlex_Author_ID
PA_AUTH_0000031	https://openalex.org/A2106134421	danqing wu	OpenAlex_Author_ID
PA_AUTH_0000032	https://openalex.org/A2107647223	changhong zhu	OpenAlex_Author_ID
PA_AUTH_0000033	https://openalex.org/A2110939084	maira petrini	OpenAlex_Author_ID
PA_AUTH_0000034	https://openalex.org/A2112176163	waldemar antonio da rocha de souza	OpenAlex_Author_ID
PA_AUTH_0000035	https://openalex.org/A2114528485	alex alarćon hein	OpenAlex_Author_ID
PA_AUTH_0000036	https://openalex.org/A2115693799	uttam kumar	OpenAlex_Author_ID
PA_AUTH_0000037	https://openalex.org/A2116752063	sandhya sharma	OpenAlex_Author_ID
PA_AUTH_0000038	https://openalex.org/A2117363370	pablo jensen	OpenAlex_Author_ID
PA_AUTH_0000039	https://openalex.org/A2120223333	elisabeth lisbôa pinto	OpenAlex_Author_ID
PA_AUTH_0000040	https://openalex.org/A2122047464	pratikshya mohanty	OpenAlex_Author_ID
PA_AUTH_0000041	https://openalex.org/A2122269991	maurício gregianin testa	OpenAlex_Author_ID
PA_AUTH_0000042	https://openalex.org/A2122797990	xuelin li	OpenAlex_Author_ID
PA_AUTH_0000043	https://openalex.org/A2124561632	asim mehmood	OpenAlex_Author_ID
PA_AUTH_0000044	https://openalex.org/A2125987028	ni nyoman padmadewi	OpenAlex_Author_ID
PA_AUTH_0000045	https://openalex.org/A2127961517	alessandra debone de sousa	OpenAlex_Author_ID
PA_AUTH_0000046	https://openalex.org/A2136263741	rodrigo kuyumjian	OpenAlex_Author_ID
PA_AUTH_0000047	https://openalex.org/A2137011526	ling-yuan kong	OpenAlex_Author_ID
PA_AUTH_0000048	https://openalex.org/A2138010096	fabián pressacco	OpenAlex_Author_ID
PA_AUTH_0000049	https://openalex.org/A2142711421	francesco rosati	OpenAlex_Author_ID
PA_AUTH_0000050	https://openalex.org/A2143046359	marcelo sánchez-oro sánchez	OpenAlex_Author_ID
PA_AUTH_0000051	https://openalex.org/A214657506	esteban molina	OpenAlex_Author_ID
PA_AUTH_0000052	https://openalex.org/A2155935009	silvia cristina caicedo muñoz	OpenAlex_Author_ID
PA_AUTH_0000053	https://openalex.org/A2157301529	dhakir abbas ali	OpenAlex_Author_ID
PA_AUTH_0000054	https://openalex.org/A2158752388	e. geißler	OpenAlex_Author_ID
PA_AUTH_0000055	https://openalex.org/A2161096605	carlos a. gonçalves	OpenAlex_Author_ID
PA_AUTH_0000056	https://openalex.org/A2164613908	wan azman saini wan ngah	OpenAlex_Author_ID
PA_AUTH_0000057	https://openalex.org/A2168504017	maria ester de freitas	OpenAlex_Author_ID
PA_AUTH_0000058	https://openalex.org/A2170467954	liu fanglei	OpenAlex_Author_ID
PA_AUTH_0000059	https://openalex.org/A2186624595	ong choon hee	OpenAlex_Author_ID
PA_AUTH_0000060	https://openalex.org/A2197511722	i wayan puja astawa	OpenAlex_Author_ID
PA_AUTH_0000061	https://openalex.org/A2218179214	ronaldo augusto campos pessoa	OpenAlex_Author_ID
PA_AUTH_0000062	https://openalex.org/A2218360442	rodrigo chaloub dieguez	OpenAlex_Author_ID
PA_AUTH_0000063	https://openalex.org/A2219776265	michelle costa marques dos santos	OpenAlex_Author_ID
PA_AUTH_0000064	https://openalex.org/A2223758235	j.-c. spender	OpenAlex_Author_ID
PA_AUTH_0000065	https://openalex.org/A2235182329	mohamed razeef abd razak	OpenAlex_Author_ID
PA_AUTH_0000066	https://openalex.org/A2239373499	d. senthil babu	OpenAlex_Author_ID
PA_AUTH_0000067	https://openalex.org/A2247997083	elvia mirian cavalcanti fadul	OpenAlex_Author_ID
PA_AUTH_0000068	https://openalex.org/A2258058649	marina campos morici	OpenAlex_Author_ID
PA_AUTH_0000069	https://openalex.org/A2259873255	roberta buendia sabbagh	OpenAlex_Author_ID
PA_AUTH_0000070	https://openalex.org/A2305562532	a. rubenstein	OpenAlex_Author_ID
PA_AUTH_0000071	https://openalex.org/A2344777587	olavo venturim caldas	OpenAlex_Author_ID
PA_AUTH_0000072	https://openalex.org/A2412891145	xing-shi zhang	OpenAlex_Author_ID
PA_AUTH_0000073	https://openalex.org/A2418087870	soumya sengupta	OpenAlex_Author_ID
PA_AUTH_0000074	https://openalex.org/A2428653695	paulo roberto marques de oliveira	OpenAlex_Author_ID
PA_AUTH_0000075	https://openalex.org/A2432622749	spyridon spyratos	OpenAlex_Author_ID
PA_AUTH_0000076	https://openalex.org/A2438543722	elvis moura da silva	OpenAlex_Author_ID
PA_AUTH_0000077	https://openalex.org/A2469212701	petr machleidt	OpenAlex_Author_ID
PA_AUTH_0000078	https://openalex.org/A2506464905	cristiano machado costa	OpenAlex_Author_ID
PA_AUTH_0000079	https://openalex.org/A2515528055	sebastián goinheix costa	OpenAlex_Author_ID
PA_AUTH_0000080	https://openalex.org/A2519866420	c. c. jaeger	OpenAlex_Author_ID
PA_AUTH_0000081	https://openalex.org/A2531094965	nawal mustafa	OpenAlex_Author_ID
PA_AUTH_0000082	https://openalex.org/A2547323610	nandar win	OpenAlex_Author_ID
PA_AUTH_0000083	https://openalex.org/A2551539087	putu nanci riastini	OpenAlex_Author_ID
PA_AUTH_0000084	https://openalex.org/A2593904671	dr.swati sharma	OpenAlex_Author_ID
PA_AUTH_0000085	https://openalex.org/A2600474425	dessy seri wahyuni	OpenAlex_Author_ID
PA_AUTH_0000086	https://openalex.org/A2648676918	i gusti putu sudiarta	OpenAlex_Author_ID
PA_AUTH_0000087	https://openalex.org/A2662754268	t. v. ramach	OpenAlex_Author_ID
PA_AUTH_0000088	https://openalex.org/A2666211254	helen ladd	OpenAlex_Author_ID
PA_AUTH_0000089	https://openalex.org/A2678647293	andrés rojas bottner	OpenAlex_Author_ID
PA_AUTH_0000090	https://openalex.org/A2684465065	dr.dharmpal singh	OpenAlex_Author_ID
PA_AUTH_0000091	https://openalex.org/A2702531480	rocío blanco gregory	OpenAlex_Author_ID
PA_AUTH_0000092	https://openalex.org/A2741123963	vicente ugalde saldaña	OpenAlex_Author_ID
PA_AUTH_0000093	https://openalex.org/A2792230141	lim kim yew	OpenAlex_Author_ID
PA_AUTH_0000094	https://openalex.org/A293874139	marcelo sanches pagliarussi	OpenAlex_Author_ID
PA_AUTH_0000095	https://openalex.org/A2971541668	naixin lu	OpenAlex_Author_ID
PA_AUTH_0000096	https://openalex.org/A2972348071	qiu-ya ma	OpenAlex_Author_ID
PA_AUTH_0000097	https://openalex.org/A2998232268	zheng-rong cai	OpenAlex_Author_ID
PA_AUTH_0000098	https://openalex.org/A2999034730	richardson michael	OpenAlex_Author_ID
PA_AUTH_0000099	https://openalex.org/A3022543116	made hery santosa	OpenAlex_Author_ID
